Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[81/152] santa-cruz/xrt/interior_dashboard  ok (59084 bytes, image/webp)
[82/152] santa-cruz/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[83/152] santa-fe/se/front_three_quarter  ok (79146 bytes, image/webp)
[84/152] santa-fe/se/rear_three_quarter  ok (68790 bytes, image/webp)
[85/152] santa-fe/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[86/152] santa-fe/se/interior_dashboard  ok (54098 bytes, image/webp)
[87/152] santa-fe/sel/front_three_quarter  ok (40702 bytes, image/webp)
[88/152] santa-fe/xrt/front_three_quarter  ok (79146 bytes, image/webp)
[89/152] santa-fe/xrt/rear_three_quarter  ok (68790 bytes, image/webp)
[90/152] santa-fe/xrt/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[91/152] santa-fe/xrt/interior_dashboard  ok (54098 bytes, image/webp)
[92/152] santa-fe/limited/front_three_quarter  ok (104146 bytes, image/webp)
[93/152] santa-fe/calligraphy/front_three_quarter  ok (274862 bytes, image/webp)
[94/152] santa-fe/hybrid-se/front_three_quarter  ok (79146 bytes, image/webp)
[95/152] santa-fe/hybrid-se/rear_three_quarter  ok (68790 bytes, image/webp)
[96/152] santa-fe/hybrid-se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[97/152] santa-fe/hybrid-se/interior_dashboard  ok (54098 bytes, image/webp)
[98/152] santa-fe/hybrid-sel/front_three_quarter  ok (40702 bytes, image/webp)
[99/152] santa-fe/hybrid-limited/front_three_quarter  ok (104146 bytes, image/webp)
[100/152] santa-fe/hybrid-calligraphy/front_three_quarter  ok (274862 bytes, image/webp)
[101/152] palisade/se/front_three_quarter  ok (41160 bytes, image/webp)
[102/152] palisade/se/rear_three_quarter  ok (95026 bytes, image/webp)
[103/152] palisade/se/side_profile  ok (31704 bytes, image/webp)
[104/152] palisade/se/interior_dashboard  ok (126360 bytes, image/webp)
[105/152] palisade/sel/front_three_quarter  ok (44694 bytes, image/webp)
[106/152] palisade/sel-convenience/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[107/152] palisade/sel-premium/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[108/152] palisade/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[109/152] palisade/xrt-pro/front_three_quarter  ok (41160 bytes, image/webp)
[110/152] palisade/xrt-pro/rear_three_quarter  ok (95026 bytes, image/webp)
[111/152] palisade/xrt-pro/side_profile  ok (31704 bytes, image/webp)
[112/152] palisade/xrt-pro/interior_dashboard  ok (126360 bytes, image/webp)
