Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[63/152] tucson/hybrid-blue-se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[64/152] tucson/hybrid-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[65/152] tucson/hybrid-sel-convenience/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[66/152] tucson/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[67/152] tucson/phev-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[68/152] tucson/phev-sel/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[69/152] tucson/phev-sel/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[70/152] tucson/phev-sel/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[71/152] tucson/phev-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[72/152] santa-cruz/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[73/152] santa-cruz/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[74/152] santa-cruz/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[75/152] santa-cruz/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[76/152] santa-cruz/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[77/152] santa-cruz/sel-activity/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[78/152] santa-cruz/xrt/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[79/152] santa-cruz/xrt/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[80/152] santa-cruz/xrt/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[81/152] santa-cruz/xrt/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[82/152] santa-cruz/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[83/152] santa-fe/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[84/152] santa-fe/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[85/152] santa-fe/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[86/152] santa-fe/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[87/152] santa-fe/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[88/152] santa-fe/xrt/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[89/152] santa-fe/xrt/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[90/152] santa-fe/xrt/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[91/152] santa-fe/xrt/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[92/152] santa-fe/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[93/152] santa-fe/calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[94/152] santa-fe/hybrid-se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
